model,fold,log_loss,brier,accuracy
xgboost,59,0.6154582880944007,0.2127767950296402,0.6913407821229051
lasso_lr,60,0.6356763089465483,0.22317427922835795,0.637223974763407
ridge_lr,60,0.633681376858152,0.22234228748513216,0.6403785488958991
elasticnet,60,0.636280027600505,0.2234876288286312,0.637223974763407
logistic,60,0.6336576815720801,0.2223290716738017,0.6403785488958991
xgboost,60,0.6352771703831209,0.2234799563884735,0.6198738170347003
lasso_lr,61,0.6480186496568138,0.22983408264998753,0.6142857142857143
ridge_lr,61,0.6457406282342391,0.22874877041169872,0.6095238095238096
elasticnet,61,0.648628884683672,0.23012139739128995,0.6047619047619047
logistic,61,0.6462233330819179,0.22903289600360874,0.6047619047619047
xgboost,61,0.6530868797724534,0.2316354513168335,0.6142857142857143
lasso_lr,62,0.6880870478167272,0.2493432654779618,0.42857142857142855
ridge_lr,62,0.6878584719300559,0.2491140760454049,0.4523809523809524
elasticnet,62,0.6896661049377304,0.25008485580224943,0.42857142857142855
logistic,62,0.6879447465221347,0.24915614869412245,0.4523809523809524
xgboost,62,0.676853865385018,0.24491843581199646,0.4880952380952381
lasso_lr,63,0.9262055104242023,0.34044919899907583,0.5
ridge_lr,63,0.9001849942649166,0.33287493527731393,0.5
elasticnet,63,0.9208559139745865,0.33904239471740344,0.5
logistic,63,0.9002248198123796,0.33289488043746257,0.5
xgboost,63,0.8612587628248329,0.3242073357105255,0.5
