model,fold,log_loss,brier,accuracy
elasticnet,20,0.6487209098779831,0.22996177770871182,0.5894308943089431
logistic,20,0.6511224731539337,0.2312354778331318,0.6016260162601627
xgboost,20,0.6514450028006145,0.2309548407793045,0.5873983739837398
lasso_lr,21,0.6194365018126788,0.21498747769790133,0.6558704453441295
ridge_lr,21,0.6203991978645573,0.21543593722528603,0.659919028340081
elasticnet,21,0.6199675056343117,0.215237288971079,0.6518218623481782
logistic,21,0.6157397121934941,0.21356290536231945,0.6680161943319838
xgboost,21,0.6203232641598413,0.21552258729934692,0.6862348178137652
lasso_lr,22,0.6081796370897816,0.21021424079357579,0.672645739910314
ridge_lr,22,0.6074254707964492,0.21007863601708382,0.6681614349775785
elasticnet,22,0.6079911394511831,0.21017533779038775,0.6771300448430493
logistic,22,0.6012146765932381,0.20717761154847955,0.6905829596412556
xgboost,22,0.6156297859397903,0.21304576098918915,0.6860986547085202
lasso_lr,23,0.6311135244176335,0.22022584377787452,0.6606425702811245
ridge_lr,23,0.630445307595429,0.21984209122697274,0.6506024096385542
elasticnet,23,0.6307243798958582,0.2200216852469069,0.6546184738955824
logistic,23,0.6316651143447249,0.22051643434861337,0.6586345381526104
xgboost,23,0.6443736621507214,0.2258644700050354,0.6465863453815262
lasso_lr,24,0.6418058218946555,0.22531944404940002,0.6349085365853658
ridge_lr,24,0.6435199161069266,0.22595700755496673,0.6303353658536586
elasticnet,24,0.6422438080419108,0.225511490954372,0.6333841463414634
logistic,24,0.6544054608594201,0.22997269929346015,0.625
xgboost,24,0.6469972147560363,0.22757937014102936,0.6288109756097561
lasso_lr,25,0.6359791905760835,0.2225743508366481,0.646780303030303
ridge_lr,25,0.6372902525398985,0.2232026819849999,0.6373106060606061
elasticnet,25,0.6359952963795412,0.2225934112020238,0.6472537878787878
logistic,25,0.6332329728701648,0.2214367033818007,0.6425189393939394
xgboost,25,0.6357039848428027,0.22256970405578613,0.6534090909090909
lasso_lr,26,0.6512853791124716,0.2251339001525291,0.6212704523580366
ridge_lr,26,0.6647122341842409,0.22614677482541787,0.624157844080847
elasticnet,26,0.6528918530910442,0.22521158609108316,0.62223291626564
logistic,26,0.6801129505543464,0.22696960528815607,0.6280076997112608
xgboost,26,0.6370376436675431,0.22338484227657318,0.624157844080847
lasso_lr,27,0.6405408244542109,0.22530580452877982,0.6231300345224395
ridge_lr,27,0.6401481150610674,0.22532698689336986,0.6196777905638665
elasticnet,27,0.6405398678114329,0.2253285978845764,0.622554660529344
logistic,27,0.6439420823285286,0.22698115740787514,0.6196777905638665
xgboost,27,0.640270634315933,0.22518032789230347,0.6144994246260069
lasso_lr,28,0.6354149644266316,0.2230860469015368,0.6208277703604806
ridge_lr,28,0.6370701425235239,0.2237620211195848,0.6255006675567423
elasticnet,28,0.6355448300516562,0.2231251198608348,0.6221628838451269
logistic,28,0.6395267560754196,0.22477705279542598,0.6295060080106809
xgboost,28,0.6400451291291509,0.2250598818063736,0.6335113484646195
lasso_lr,29,0.6647503480238164,0.23647793664840258,0.572972972972973
ridge_lr,29,0.6641236559109139,0.23621914593131155,0.581981981981982
elasticnet,29,0.6648286935816542,0.23652227245745916,0.5738738738738739
logistic,29,0.6655259237701384,0.23694561710232565,0.5873873873873874
xgboost,29,0.6646168373923048,0.23621304333209991,0.572972972972973
lasso_lr,30,0.6469085955471673,0.2283652979744138,0.6223241590214067
ridge_lr,30,0.6452363611215877,0.2275101523207275,0.6253822629969419
elasticnet,30,0.6470359967811093,0.22840467487929228,0.6207951070336392
logistic,30,0.653805691745879,0.23167892819897343,0.5932721712538226
xgboost,30,0.6564869688617752,0.23270148038864136,0.6009174311926605
lasso_lr,31,0.6504430330257948,0.229104102258241,0.6
ridge_lr,31,0.650033917132938,0.22904204287380328,0.6272727272727273
elasticnet,31,0.6501721806446414,0.22903987124411324,0.5863636363636363
logistic,31,0.6473921282584028,0.2280564997127293,0.6363636363636364
xgboost,31,0.6305718575407466,0.21962019801139832,0.6409090909090909
lasso_lr,32,0.6789027217210045,0.24419072679406345,0.5454545454545454
ridge_lr,32,0.6763844383290044,0.24297686339094146,0.5454545454545454
elasticnet,32,0.6790697832188957,0.24428542854055574,0.5454545454545454
logistic,32,0.6793532185898898,0.24442530778266258,0.5252525252525253
xgboost,32,0.6643562420984285,0.23707066476345062,0.5909090909090909
lasso_lr,33,0.6789468979779398,0.24299076258002178,0.5909090909090909
ridge_lr,33,0.6790102328214499,0.24279254547455548,0.6047430830039525
elasticnet,33,0.678801970617687,0.2429168334188168,0.5909090909090909
logistic,33,0.6809147878077241,0.2439852896565034,0.5810276679841897
xgboost,33,0.6765553522356299,0.24194516241550446,0.5632411067193676
lasso_lr,34,0.681832452865042,0.24380722516152134,0.585635359116022
ridge_lr,34,0.6812590597648365,0.24342241116074328,0.574585635359116
elasticnet,34,0.6823566690733474,0.24401832684912902,0.585635359116022
logistic,34,0.6932691642561316,0.2488761936462476,0.5524861878453039
xgboost,34,0.6787266761851702,0.2414090484380722,0.6104972375690608
lasso_lr,35,0.6673017532540291,0.23729576538004274,0.5700934579439252
ridge_lr,35,0.6613684697995093,0.2344414900350348,0.5911214953271028
elasticnet,35,0.666699679589248,0.23698319974047105,0.5794392523364486
